ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_METHOD,CUSTOMER_ID,CUSTOMER_NAME,CUST_CATEGORY,CITY,PROVINCE,COUNTRY,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,SALES,QUANTITY,DISCOUNT,PROFIT
6,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.58,9,0.0,3783.78
7,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76
8,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08
9,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.9
10,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.88
13,CN-202021-2752724,2022-06-05,2022-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,办公用-信封-10000017,办公用品,信封,"Jiffy 局间信封, 银色",683.76,3,0.0,88.62
14,CN-202021-2752724,2022-06-05,2022-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-配件-10004920,技术,配件,"SanDisk 键区, 可编程",1326.5,5,0.0,344.4
15,CN-202021-2752724,2022-06-05,2022-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",5936.56,2,0.0,2849.28
70,CN-202021-3188191,2022-09-27,2022-10-02,二级,涂博-10585,涂博,消费者,滕州,山东,中国,华东,办公用-标签-10004567,办公用品,标签,"Smead 有色标签, 红色",300.3,5,0.0,149.8
71,CN-202021-5717181,2022-09-15,2022-09-18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,办公用-信封-10002784,办公用品,信封,"Kraft 搭扣信封, 红色",292.6,5,0.0,125.3
72,CN-202021-5717181,2022-09-15,2022-09-18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,家具-书架-10000904,家具,书架,"宜家 书架, 传统",572.04,1,0.0,62.86
83,US-202021-1803838,2022-08-22,2022-08-27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,技术-复印-10004933,技术,复印机,"夏普 墨水, 每套两件",696.696,2,0.4,-395.024
84,US-202021-1803838,2022-08-22,2022-08-27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,办公用-标签-10002776,办公用品,标签,"Novimex 圆形标签, 可调",58.38,3,0.0,26.04
100,CN-202021-1973789,2022-01-25,2022-01-28,一级,涂博-10585,涂博,消费者,泉州,福建,中国,华东,办公用-用品-10000800,办公用品,用品,"Elite 修剪器, 工业",606.06,3,0.0,48.3
101,CN-202021-1973789,2022-01-25,2022-01-28,一级,涂博-10585,涂博,消费者,泉州,福建,中国,华东,办公用-器具-10004620,办公用品,器具,"Cuisinart 咖啡研磨机, 红色",720.72,4,0.0,222.88
106,CN-202021-5378913,2022-10-10,2022-10-12,一级,彭伟-21550,彭伟,小型企业,七台河,黑龙江,中国,东北,家具-椅子-10004126,家具,椅子,"Novimex 折叠椅, 黑色",2606.8,7,0.0,155.82
107,CN-202021-5378913,2022-10-10,2022-10-12,一级,彭伟-21550,彭伟,小型企业,七台河,黑龙江,中国,东北,技术-配件-10004359,技术,配件,"Memorex 键区, 回收",803.04,4,0.0,96.32
118,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10002440,办公用品,信封,"Ames 外皮和封条, 回收",489.72,6,0.0,166.32
119,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-设备-10003147,技术,设备,"StarTech 收据打印机, 红色",301.644,1,0.4,-170.996
120,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10000118,办公用品,信封,"GlobeWeis 马尼拉纸信封, 银色",278.04,2,0.0,27.72
121,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-配件-10002633,技术,配件,"罗技 记忆卡, 耐用",1160.208,4,0.4,173.488
122,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-电话-10002475,技术,电话,"诺基亚 办公室电话机, 全尺寸",1301.832,7,0.4,-195.608
123,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-收纳-10000793,办公用品,收纳具,"Smead 锁柜, 单宽度",2778.3,3,0.0,222.18
124,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10000562,办公用品,信封,"Kraft 搭扣信封, 银色",212.8,4,0.0,97.44
125,CN-202021-3269021,2022-10-08,2022-10-08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-用品-10004613,办公用品,用品,"Elite 美工刀, 工业",204.456,2,0.4,-47.824
126,CN-202021-2594036,2022-02-15,2022-02-21,标准级,雷木-18415,雷木兰,消费者,杭州,浙江,中国,华东,家具-椅子-10001116,家具,椅子,"Hon 摇椅, 红色",731.472,2,0.4,60.872
131,CN-202021-2554132,2022-07-17,2022-07-17,当日,吕凤-12910,吕凤,小型企业,珠海,广东,中国,中南,办公用-标签-10002989,办公用品,标签,"Hon 运输标签, 白色",477.54,9,0.0,56.7
135,CN-202021-2084652,2022-10-05,2022-10-11,标准级,薛婷-21070,薛婷,消费者,常州,江苏,中国,华东,家具-椅子-10001258,家具,椅子,"Harbour Creations 扶手椅, 可调",6665.4,5,0.4,555.1
136,CN-202021-2084652,2022-10-05,2022-10-11,标准级,薛婷-21070,薛婷,消费者,常州,江苏,中国,华东,家具-用具-10000958,家具,用具,"Advantus 门挡, 耐用",353.304,3,0.4,-164.976
