ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_METHOD,CUSTOMER_ID,CUSTOMER_NAME,CUST_CATEGORY,CITY,PROVINCE,COUNTRY,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,SALES,QUANTITY,DISCOUNT,PROFIT
11,CN-202020-4195213,2021-12-22,2021-12-24,二级,谢雯-21700,谢雯,小型企业,榆林,陕西,中国,西北,技术-设备-10000001,技术,设备,"爱普生 计算器, 耐用",434.28,2,0.0,4.2
44,CN-202020-2932548,2021-05-17,2021-05-22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-收纳-10004212,办公用品,收纳具,"Fellowes 锁柜, 蓝色",1935.08,2,0.0,0.0
45,CN-202020-2932548,2021-05-17,2021-05-22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-美术-10001691,办公用品,美术,"Sanford 钢笔, 混合尺寸",266.56,4,0.0,50.4
61,CN-202020-3232413,2021-08-24,2021-08-27,二级,袁保-10405,袁保,公司,阳江,广东,中国,中南,技术-复印-10001943,技术,复印机,"佳能 传真机, 红色",2954.84,2,0.0,1152.2
63,CN-202020-4497265,2021-01-21,2021-01-23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-标签-10002381,办公用品,标签,"Harbour Creations 运输标签, 耐用",276.5,5,0.0,132.3
64,CN-202020-4497265,2021-01-21,2021-01-23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-系固-10004216,办公用品,系固件,"Stockwell 回形针, 混合尺寸",255.5,5,0.0,51.1
66,US-202020-3767771,2021-12-19,2021-12-24,标准级,陶武-21880,陶武,公司,孝感,湖北,中国,中南,办公用-器具-10003836,办公用品,器具,"Hoover 微波炉, 黑色",6900.768,8,0.4,-3106.432
67,US-202020-1166331,2021-10-31,2021-11-01,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-美术-10002740,办公用品,美术,"Stanley 速写本, 蓝色",497.616,3,0.2,-37.464
68,US-202020-1166331,2021-10-31,2021-11-01,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-纸张-10002104,办公用品,纸张,"Green Bar 计划信息表, 每包 12 个",391.02,3,0.0,23.1
76,US-202020-3275681,2021-02-02,2021-02-06,二级,黄丽-15835,黄丽,消费者,椒江,浙江,中国,华东,办公用-用品-10001427,办公用品,用品,"Elite 大剪刀, 蓝色",658.14,5,0.4,-33.46
