ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_METHOD,CUSTOMER_ID,CUSTOMER_NAME,CUST_CATEGORY,CITY,PROVINCE,COUNTRY,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,SALES,QUANTITY,DISCOUNT,PROFIT
5,CN-202022-2975416,2023-05-31,2023-06-02,二级,万兰-15730,万兰,消费者,汕头,广东,中国,中南,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",1375.92,3,0.0,550.2
16,US-202022-2511714,2023-11-22,2023-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-器具-10003582,办公用品,器具,"KitchenAid 冰箱, 黑色",10336.452,7,0.4,-3962.728
17,US-202022-2511714,2023-11-22,2023-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-标签-10004648,办公用品,标签,"Novimex 圆形标签, 红色",85.26,3,0.0,38.22
25,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-书架-10004730,家具,书架,"Sauder 书架, 金属",1638.336,4,0.4,-464.464
26,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-椅子-10002386,家具,椅子,"Office Star 摇椅, 可调",1204.56,3,0.4,60.06
27,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003889,办公用品,系固件,"OIC 图钉, 金属",198.66,5,0.4,-16.94
28,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003118,办公用品,系固件,"Accos 图钉, 混合尺寸",249.312,8,0.4,-58.688
29,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",389.088,6,0.4,-182.112
30,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,技术-配件-10003585,技术,配件,"罗技 路由器, 实惠",692.496,1,0.4,-34.664
31,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-用具-10001174,家具,用具,"Tenex 灯泡, 黑色",106.008,2,0.4,-9.072
35,US-202022-1966627,2023-11-19,2023-11-23,标准级,巩虢-13495,巩虢,公司,宁波,浙江,中国,华东,家具-书架-10002226,家具,书架,"Dania 书架, 白色",1390.032,4,0.4,-486.528
36,CN-202022-1190387,2023-02-28,2023-03-01,一级,常松-20575,常松,消费者,上海,上海,中国,华东,家具-用具-10002645,家具,用具,"Advantus 灯泡, 耐用",399.0,5,0.0,0.0
37,CN-202022-3216455,2023-09-03,2023-09-06,二级,田黎-16450,田黎明,公司,厦门,福建,中国,华东,办公用-美术-10001683,办公用品,美术,"Boston 画布, 蓝色",250.32,1,0.0,32.48
38,CN-202022-4690757,2023-09-17,2023-09-21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-纸张-10003357,办公用品,纸张,"Green Bar 笔记本, 优质",834.12,6,0.0,399.84
39,CN-202022-4690757,2023-09-17,2023-09-21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-收纳-10002029,办公用品,收纳具,"Smead 盘, 工业",228.48,1,0.0,77.56
40,CN-202022-4690757,2023-09-17,2023-09-21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,家具-桌子-10001094,家具,桌子,"Lesro 培训桌, 长方形",932.295,1,0.25,-211.365
41,CN-202022-4674220,2023-07-02,2023-07-05,一级,徐岱-11875,徐岱,公司,兰州,甘肃,中国,西北,办公用-纸张-10002597,办公用品,纸张,"SanDisk 羊皮纸, 每包 12 个",291.9,3,0.0,107.94
42,US-202022-3857264,2023-07-26,2023-08-01,标准级,武杰-14815,武杰,小型企业,淮阴,江苏,中国,华东,办公用-器具-10004757,办公用品,器具,"Breville 炉灶, 黑色",9424.296,6,0.4,-2042.544
43,CN-202022-4054371,2023-12-24,2023-12-26,二级,吕兰-15700,吕兰,消费者,肇源,黑龙江,中国,东北,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",4127.76,9,0.0,1650.6
46,CN-202022-3476344,2023-07-16,2023-07-20,标准级,葛毅-12505,葛毅,消费者,合肥,安徽,中国,华东,办公用-装订-10000749,办公用品,装订机,"Ibico 打孔机, 透明",697.9,5,0.0,236.6
47,US-202022-5956361,2023-06-16,2023-06-18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-美术-10001467,办公用品,美术,"Boston 速写本, 蓝色",272.16,6,0.8,-1020.6
48,US-202022-5956361,2023-06-16,2023-06-18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",1780.968,1,0.4,237.328
49,US-202022-5956361,2023-06-16,2023-06-18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-信封-10002675,办公用品,信封,"Ames 邮寄品, 银色",357.0,2,0.0,149.8
53,CN-202022-2828982,2023-05-22,2023-05-26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10000297,办公用品,器具,"Hamilton Beach 炉灶, 黑色",12641.3,5,0.0,3539.2
54,CN-202022-2828982,2023-05-22,2023-05-26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10002796,办公用品,器具,"Hamilton Beach 烤面包机, 银色",1359.4,5,0.0,217.0
55,CN-202022-2828982,2023-05-22,2023-05-26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-收纳-10000932,办公用品,收纳具,"Rogers 文件夹, 蓝色",143.22,1,0.0,68.74
56,US-202022-4297166,2023-12-31,2024-01-04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-用品-10003822,办公用品,用品,"Acme 开信刀, 蓝色",338.352,4,0.4,-129.808
57,US-202022-4297166,2023-12-31,2024-01-04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-系固-10003020,办公用品,系固件,"Stockwell 订书钉, 每包 12 个",137.76,5,0.4,-71.54
